iter	Passed	Remaining
925	1903	152
926	1905	150
927	1908	148
928	1909	145
929	1911	143
930	1913	141
931	1915	139
932	1917	137
933	1919	135
934	1920	133
935	1922	131
936	1924	129
937	1926	127
938	1928	125
939	1930	123
940	1932	121
941	1934	119
942	1936	117
943	1938	114
944	1939	112
945	1941	110
946	1943	108
947	1945	106
948	1947	104
949	1949	102
950	1950	100
951	1952	98
952	1954	96
953	1956	94
954	1958	92
955	1960	90
956	1962	88
957	1964	86
958	1966	84
959	1967	81
960	1970	79
961	1971	77
962	1973	75
963	1975	73
964	1977	71
965	1979	69
966	1981	67
967	1983	65
968	1985	63
969	1987	61
970	1989	59
971	1990	57
972	1992	55
973	1994	53
974	1996	51
975	1998	49
976	2000	47
977	2002	45
978	2004	42
979	2006	40
980	2007	38
981	2010	36
982	2011	34
983	2013	32
984	2015	30
985	2017	28
986	2019	26
987	2021	24
988	2023	22
989	2025	20
990	2027	18
991	2028	16
992	2030	14
993	2032	12
994	2034	10
995	2036	8
996	2038	6
997	2040	4
998	2042	2
999	2044	0
